site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72808,2016-08-13,900067000114247,adult,healthy
72808,2016-08-13,900067000114258,adult,healthy
72808,2016-08-13,900067000114266,adult,healthy
72808,2016-08-13,900067000114270,adult,healthy
72808,2016-08-13,900067000114285,adult,healthy
72808,2016-08-13,900067000114287,adult,healthy
72336,2016-08-13,900067000114291,adult,healthy
72808,2016-08-13,900067000114298,adult,healthy
72336,2016-08-13,900067000114300,adult,healthy
72336,2016-08-13,900067000114311,adult,healthy
72336,2016-08-13,900067000114317,adult,healthy
72336,2016-08-13,900067000114324,adult,healthy
72808,2016-08-13,900067000114325,adult,healthy
72336,2016-08-13,900067000114330,adult,healthy
72336,2016-08-13,900067000114335,adult,healthy
72336,2016-08-13,900067000114346,adult,healthy
72336,2016-08-13,900067000114351,adult,healthy
72336,2016-08-13,900067000114352,adult,healthy
72336,2016-08-13,900067000114356,adult,healthy
72336,2016-08-13,900067000114367,adult,healthy
72808,2016-08-13,900067000114370,adult,healthy
72336,2016-08-13,900067000114377,adult,healthy
72808,2016-08-13,900067000114394,adult,healthy
72808,2016-08-13,900067000114424,adult,healthy
72808,2016-08-13,900067000114433,adult,healthy
72336,2016-08-13,900067000114434,adult,healthy
72808,2016-08-13,900067000114475,adult,healthy
72808,2016-08-13,900067000114480,adult,healthy
72808,2016-08-13,900067000114487,adult,healthy
72336,2016-08-13,900067000114494,adult,healthy
72808,2016-08-13,900067000114502,adult,healthy
72808,2016-08-13,900067000114506,adult,healthy
72336,2016-08-13,900067000114537,adult,healthy
72808,2016-08-13,900067000114565,adult,healthy
72808,2016-08-13,900067000114570,adult,healthy
72808,2016-08-13,900067000114604,adult,healthy
72808,2016-08-13,900067000114607,adult,healthy
72336,2016-08-13,900067000114610,adult,healthy
72336,2016-08-13,900067000114632,adult,healthy
72336,2016-08-13,900067000114643,adult,healthy
72808,2016-08-13,900067000114667,adult,healthy
72808,2016-08-13,900067000114682,adult,healthy
72336,2016-08-13,900067000114716,adult,healthy
72336,2016-08-13,900067000114739,adult,healthy
72808,2016-08-13,900067000114740,adult,healthy
72808,2016-08-13,900067000114741,adult,healthy
72808,2016-08-13,900067000114762,adult,healthy
72808,2016-08-13,900067000114774,adult,healthy
72808,2016-08-13,900067000114827,adult,healthy
72808,2016-08-13,900067000114847,adult,healthy
72336,2016-08-13,900067000114851,adult,healthy
72808,2016-08-13,900067000117719,adult,healthy
72336,2016-08-13,91364066,adult,healthy
72808,2016-08-13,982000365440173,adult,healthy
72808,2016-08-13,982000365440188,adult,healthy
72808,2016-08-13,982000365440191,adult,healthy
72808,2016-08-13,982000365440207,adult,healthy
72336,2016-08-13,982000365440219,adult,healthy
72808,2016-08-13,982000365440221,adult,healthy
72808,2016-08-13,982000365440226,adult,healthy
72808,2016-08-13,982000365440247,adult,healthy
72808,2016-08-13,982000365440248,adult,healthy
72336,2016-08-13,982000365440257,adult,healthy
72336,2016-08-13,982000365440279,adult,healthy
72336,2016-08-13,982000365440282,adult,healthy
72336,2016-08-13,982000365440304,adult,healthy
72336,2016-08-13,982000365440321,adult,healthy
72808,2016-08-13,982000365440328,adult,dead
72336,2016-08-13,982000365440351,adult,healthy
72336,2016-08-13,982000365440358,adult,healthy
72808,2016-08-13,982000365440360,adult,healthy
72808,2016-08-14,900043000108296,adult,healthy
72336,2016-08-14,900043000108304,adult,healthy
72336,2016-08-14,900043000108305,adult,healthy
72808,2016-08-14,900043000108307,adult,healthy
72808,2016-08-14,900043000104413,adult,healthy
72808,2016-08-14,80047328,adult,healthy
72808,2016-08-14,80047859,adult,healthy
72808,2016-08-14,80053879,adult,healthy
72336,2016-08-14,900043000108309,adult,healthy
72808,2016-08-14,900043000108310,adult,healthy
72808,2016-08-14,900043000108314,adult,healthy
72808,2016-08-14,900043000108316,adult,healthy
72808,2016-08-14,900043000108317,adult,healthy
72808,2016-08-14,900043000108320,adult,healthy
72808,2016-08-14,900043000108321,adult,healthy
72808,2016-08-14,900043000108323,adult,healthy
72808,2016-08-14,900043000108324,adult,healthy
72808,2016-08-14,900043000108327,adult,dead
72336,2016-08-14,900043000108335,adult,healthy
72336,2016-08-14,900043000108336,adult,healthy
72336,2016-08-14,900043000108341,adult,healthy
72808,2016-08-14,900043000108343,adult,healthy
72808,2016-08-14,900043000108354,adult,healthy
72808,2016-08-14,900043000108357,adult,healthy
72808,2016-08-14,900043000108363,adult,healthy
72808,2016-08-14,900043000108365,adult,healthy
72808,2016-08-14,900043000108366,adult,healthy
72336,2016-08-14,900043000108369,adult,healthy
72808,2016-08-14,900043000108376,adult,healthy
72808,2016-08-14,900043000108381,adult,healthy
72808,2016-08-14,900043000108393,adult,healthy
72808,2016-08-14,900043000108398,adult,healthy
72808,2016-08-14,900043000108399,adult,healthy
72808,2016-08-14,900067000063984,adult,healthy
72808,2016-08-14,900067000063992,adult,healthy
72336,2016-08-14,900067000078037,adult,healthy
72336,2016-08-14,900067000078058,adult,healthy
72336,2016-08-14,900067000078144,adult,healthy
72336,2016-08-14,900067000078171,adult,healthy
72336,2016-08-14,900067000078189,adult,healthy
72336,2016-08-14,900067000078204,adult,healthy
72336,2016-08-14,900067000078220,adult,healthy
72808,2016-08-14,900067000078231,adult,healthy
72336,2016-08-14,900067000078259,adult,healthy
72336,2016-08-14,900067000078265,adult,healthy
72336,2016-08-14,900067000078272,adult,healthy
72336,2016-08-14,900067000078294,adult,healthy
72808,2016-08-14,900067000078308,adult,healthy
72808,2016-08-14,900067000078321,adult,healthy
72336,2016-08-14,900067000078324,adult,healthy
72808,2016-08-14,900067000078381,adult,healthy
72336,2016-08-14,900067000078398,adult,healthy
72808,2016-08-14,900067000078412,adult,healthy
72808,2016-08-14,900067000078442,adult,healthy
72808,2016-08-14,900067000113920,adult,healthy
72336,2016-08-14,900067000114009,adult,healthy
72808,2016-08-14,900067000114191,adult,healthy
72808,2016-08-14,900067000114195,adult,healthy
72808,2016-08-14,900067000114196,adult,healthy
72808,2016-08-14,900067000114202,adult,healthy
